Real,Prediccion,Riesgo
48.5833333333333,49.87212,ALTO (Dañino Sensible)
21.8333333333333,22.787004,MEDIO (Moderado)
37.0,38.86192,ALTO (Dañino Sensible)
28.666666666666696,30.161062,MEDIO (Moderado)
11.3636363636364,11.343462,BAJO (Bueno)
11.5,11.333306,BAJO (Bueno)
12.6666666666667,13.34981,MEDIO (Moderado)
0.0,6.2983985,BAJO (Bueno)
53.1666666666667,54.485462,ALTO (Dañino Sensible)
1.5,3.1310127,BAJO (Bueno)
17.25,18.483027,MEDIO (Moderado)
3.0,4.4675393,BAJO (Bueno)
0.0,1.8626616,BAJO (Bueno)
22.3333333333333,22.881807,MEDIO (Moderado)
48.272727272727295,50.29762,ALTO (Dañino Sensible)
2.58333333333333,3.6644027,BAJO (Bueno)
17.0,17.159946,MEDIO (Moderado)
12.5,13.504216,MEDIO (Moderado)
7.33333333333333,8.400887,BAJO (Bueno)
17.0102214650767,17.335007,MEDIO (Moderado)
2.41666666666667,3.8987854,BAJO (Bueno)
22.0833333333333,23.62702,MEDIO (Moderado)
6.08333333333333,7.678169,BAJO (Bueno)
16.6666666666667,16.767544,MEDIO (Moderado)
19.25,19.991468,MEDIO (Moderado)
38.9166666666667,41.29763,ALTO (Dañino Sensible)
26.75,25.901823,MEDIO (Moderado)
30.5,31.569572,MEDIO (Moderado)
1.6666666666666698,3.3205185,BAJO (Bueno)
4.41666666666667,5.145077,BAJO (Bueno)
14.416666666666702,14.889201,MEDIO (Moderado)
16.75,17.553246,MEDIO (Moderado)
44.8333333333333,45.60743,ALTO (Dañino Sensible)
11.8333333333333,12.907944,MEDIO (Moderado)
22.4166666666667,22.60353,MEDIO (Moderado)
1.23076923076923,2.1480808,BAJO (Bueno)
11.1666666666667,11.679092,BAJO (Bueno)
6.16666666666667,6.834084,BAJO (Bueno)
29.3571428571429,31.024763,MEDIO (Moderado)
45.8333333333333,46.823277,ALTO (Dañino Sensible)
20.666666666666696,20.55539,MEDIO (Moderado)
0.0,1.376329,BAJO (Bueno)
4.58333333333333,3.3596168,BAJO (Bueno)
0.0,1.913857,BAJO (Bueno)
6.5833333333333295,7.238104,BAJO (Bueno)
14.166666666666702,14.345921,MEDIO (Moderado)
22.75,23.260242,MEDIO (Moderado)
1.58333333333333,3.7730548,BAJO (Bueno)
72.1666666666667,72.749626,MUY ALTO (Dañino)
0.0,1.5982039,BAJO (Bueno)
15.0833333333333,16.07053,MEDIO (Moderado)
2.9166666666666696,3.7451196,BAJO (Bueno)
18.5833333333333,18.79504,MEDIO (Moderado)
0.5,2.273489,BAJO (Bueno)
6.999999999999999,7.123711,BAJO (Bueno)
53.25,52.25791,ALTO (Dañino Sensible)
17.0833333333333,17.785841,MEDIO (Moderado)
7.91666666666667,8.790293,BAJO (Bueno)
0.0,1.5317183,BAJO (Bueno)
8.41666666666667,8.874131,BAJO (Bueno)
30.3333333333333,29.771683,MEDIO (Moderado)
34.4545454545455,35.731735,ALTO (Dañino Sensible)
8.5,8.934277,BAJO (Bueno)
2.33333333333333,2.90253,BAJO (Bueno)
10.249999999999998,10.542037,BAJO (Bueno)
7.58333333333333,5.4347367,BAJO (Bueno)
30.25,32.652016,MEDIO (Moderado)
38.1666666666667,40.288723,ALTO (Dañino Sensible)
29.75,31.37495,MEDIO (Moderado)
7.72727272727273,8.186103,BAJO (Bueno)
15.4615384615385,16.032429,MEDIO (Moderado)
33.6666666666667,35.749332,ALTO (Dañino Sensible)
39.0833333333333,41.357388,ALTO (Dañino Sensible)
2.66666666666667,4.4760027,BAJO (Bueno)
5.08333333333333,5.9808426,BAJO (Bueno)
15.6666666666667,14.920427,MEDIO (Moderado)
5.25,6.501612,BAJO (Bueno)
0.0,1.9712124,BAJO (Bueno)
18.0,18.476164,MEDIO (Moderado)
4.25,4.788878,BAJO (Bueno)
5.16666666666667,5.9422016,BAJO (Bueno)
19.0769230769231,19.818014,MEDIO (Moderado)
19.25,20.31526,MEDIO (Moderado)
4.75,6.146826,BAJO (Bueno)
3.4999999999999996,4.288793,BAJO (Bueno)
0.916666666666667,1.7352604,BAJO (Bueno)
1.0,3.028564,BAJO (Bueno)
3.41666666666667,5.0323405,BAJO (Bueno)
5.25,6.4031425,BAJO (Bueno)
5.83333333333333,6.5165896,BAJO (Bueno)
0.0,2.3501785,BAJO (Bueno)
17.8333333333333,17.808338,MEDIO (Moderado)
0.0,1.9993448,BAJO (Bueno)
0.0,1.3188869,BAJO (Bueno)
25.25,26.601963,MEDIO (Moderado)
9.08333333333333,10.224726,BAJO (Bueno)
33.75,35.230568,MEDIO (Moderado)
17.25,17.03998,MEDIO (Moderado)
93.5,103.183334,MUY ALTO (Dañino)
0.0,0.26811773,BAJO (Bueno)
37.1666666666667,38.46032,ALTO (Dañino Sensible)
12.5,12.491831,MEDIO (Moderado)
20.1666666666667,21.455215,MEDIO (Moderado)
6.08333333333333,6.4195905,BAJO (Bueno)
9.41666666666667,10.376692,BAJO (Bueno)
77.0,77.40506,MUY ALTO (Dañino)
20.5833333333333,20.676947,MEDIO (Moderado)
14.666666666666698,14.8569145,MEDIO (Moderado)
13.0833333333333,13.819677,MEDIO (Moderado)
0.0,2.2914512,BAJO (Bueno)
38.1666666666667,40.62593,ALTO (Dañino Sensible)
6.25,6.968892,BAJO (Bueno)
24.5,25.336483,MEDIO (Moderado)
61.3636363636364,61.224827,MUY ALTO (Dañino)
5.25,6.9534163,BAJO (Bueno)
3.0833333333333304,3.9026837,BAJO (Bueno)
67.0833333333333,67.3277,MUY ALTO (Dañino)
38.0,38.59878,ALTO (Dañino Sensible)
1.3333333333333302,2.639933,BAJO (Bueno)
21.4166666666667,21.915731,MEDIO (Moderado)
20.2,20.561663,MEDIO (Moderado)
41.0909090909091,43.23004,ALTO (Dañino Sensible)
4.58333333333333,5.202363,BAJO (Bueno)
31.750000000000004,33.316566,MEDIO (Moderado)
51.41666666666671,52.87305,ALTO (Dañino Sensible)
20.75,21.949263,MEDIO (Moderado)
5.33333333333333,6.634699,BAJO (Bueno)
25.0,26.041819,MEDIO (Moderado)
21.75,22.969305,MEDIO (Moderado)
19.0833333333333,19.2209,MEDIO (Moderado)
14.9090909090909,14.758972,MEDIO (Moderado)
21.8333333333333,23.148462,MEDIO (Moderado)
2.66666666666667,5.0118904,BAJO (Bueno)
2.66666666666667,4.0472975,BAJO (Bueno)
16.6666666666667,16.569263,MEDIO (Moderado)
18.3636363636364,18.555182,MEDIO (Moderado)
3.90909090909091,4.6105533,BAJO (Bueno)
69.5833333333333,70.15956,MUY ALTO (Dañino)
43.25000000000001,43.189514,ALTO (Dañino Sensible)
47.75,48.878994,ALTO (Dañino Sensible)
26.3333333333333,25.17294,MEDIO (Moderado)
64.5,64.721725,MUY ALTO (Dañino)
2.41666666666667,3.4878619,BAJO (Bueno)
20.0833333333333,20.184986,MEDIO (Moderado)
2.75,4.5474954,BAJO (Bueno)
36.9166666666667,35.661186,ALTO (Dañino Sensible)
10.5,11.1872835,BAJO (Bueno)
27.0833333333333,28.388197,MEDIO (Moderado)
5.83333333333333,7.171719,BAJO (Bueno)
64.9166666666667,65.44714,MUY ALTO (Dañino)
17.3333333333333,16.52324,MEDIO (Moderado)
37.3636363636364,38.45432,ALTO (Dañino Sensible)
77.1666666666667,78.3057,MUY ALTO (Dañino)
